Day,AMPM,Time,Activity,G12,G3,G4,G2,G5,G6,G11,G9,G7,G8,G1,G10
11,PM,7:35-8:10,pd1a,1,1,0,0,0,0,0,0,0,0,0,0
11,PM,7:35-8:10,pd1b,0,0,1,1,0,0,0,0,0,0,0,0
11,PM,7:35-8:10,pd2a,0,0,0,0,1,1,0,0,0,0,0,0
11,PM,7:35-8:10,pd2b,0,0,0,0,0,0,1,1,0,0,0,0
11,PM,7:35-8:10,pd3a,0,0,0,0,0,0,0,0,1,1,0,0
11,PM,7:35-8:10,pd3b,0,0,0,0,0,0,0,0,0,0,1,1
11,PM,8:15-8:50,pd1a,0,0,0,0,0,0,0,0,1,1,0,0
11,PM,8:15-8:50,pd1b,0,0,0,0,0,0,0,0,0,0,1,1
11,PM,8:15-8:50,pd2a,1,1,0,0,0,0,0,0,0,0,0,0
11,PM,8:15-8:50,pd2b,0,0,1,1,0,0,0,0,0,0,0,0
11,PM,8:15-8:50,pd3a,0,0,0,0,1,1,0,0,0,0,0,0
11,PM,8:15-8:50,pd3b,0,0,0,0,0,0,1,1,0,0,0,0
11,PM,8:55-9:30,pd1a,0,0,0,0,1,1,0,0,0,0,0,0
11,PM,8:55-9:30,pd1b,0,0,0,0,0,0,1,1,0,0,0,0
11,PM,8:55-9:30,pd2a,0,0,0,0,0,0,0,0,1,1,0,0
11,PM,8:55-9:30,pd2b,0,0,0,0,0,0,0,0,0,0,1,1
11,PM,8:55-9:30,pd3a,1,1,0,0,0,0,0,0,0,0,0,0
11,PM,8:55-9:30,pd3b,0,0,1,1,0,0,0,0,0,0,0,0
