Day,AMPM,Time,Activity,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
14,AM,8:30-10:00,Computing1a,1,1,1,1,1,1,0,0,0,0,0,0
14,AM,10:30-12:00,Computing1a,1,1,1,1,1,1,0,0,0,0,0,0
14,AM,8:30-10:00,Computing1b,0,0,0,0,0,0,1,1,1,1,1,1
14,AM,10:30-12:00,Computing1b,0,0,0,0,0,0,1,1,1,1,1,1
14,PM,1:00-2:30,Computing2a,1,1,1,0,0,0,0,0,0,1,1,1
14,PM,2:45-4:30,Computing2a,1,1,1,0,0,0,0,0,0,1,1,1
14,PM,1:00-2:30,Computing2b,0,0,0,1,1,1,1,1,1,0,0,0
14,PM,2:45-4:30,Computing2b,0,0,0,1,1,1,1,1,1,0,0,0
15,AM,8:30-10:00,t1,1,1,0,0,0,0,0,0,0,0,1,1
15,AM,10:30-12:00,t1,1,1,0,0,0,0,0,0,0,0,1,1
15,AM,8:30-10:00,t2,0,0,1,0,1,0,0,1,0,1,0,0
15,AM,10:30-12:00,t2,0,0,1,0,1,0,0,1,0,1,0,0
15,AM,8:30-10:00,t3,0,0,0,1,0,1,1,0,1,0,0,0
15,AM,10:30-12:00,t3,0,0,0,1,0,1,1,0,1,0,0,0
15,PM,1:00-2:30,t1,0,0,1,1,0,0,0,0,1,1,0,0
15,PM,2:45-4:30,t1,0,0,1,1,0,0,0,0,1,1,0,0
15,PM,1:00-2:30,t2,1,0,0,0,0,1,1,0,0,0,0,1
15,PM,2:45-4:30,t2,1,0,0,0,0,1,1,0,0,0,0,1
15,PM,1:00-2:30,t3,0,1,0,0,1,0,0,1,0,0,1,0
15,PM,2:45-4:30,t3,0,1,0,0,1,0,0,1,0,0,1,0
16,AM,8:30-10:00,t1,0,0,1,1,0,0,0,0,1,1,0,0
16,AM,10:30-12:00,t1,0,0,1,1,0,0,0,0,1,1,0,0
16,AM,8:00-10:00,t2,1,0,0,0,0,1,1,0,0,0,0,1
16,AM,10:30-12:00,t2,1,0,0,0,0,1,1,0,0,0,0,1
16,AM,8:00-10:00,t3,0,1,0,0,1,0,0,1,0,0,1,0
16,AM,10:30-12:00,t3,0,1,0,0,1,0,0,1,0,0,1,0
