Community Area,Name
35,DOUGLAS
36,OAKLAND
37,FULLER PARK
38,GRAND BOULEVARD
39,KENWOOD
4,LINCOLN SQUARE
40,WASHINGTON PARK
41,HYDE PARK
42,WOODLAWN
1,ROGERS PARK
11,JEFFERSON PARK
12,FOREST GLEN
13,NORTH PARK
14,ALBANY PARK
15,PORTAGE PARK
16,IRVING PARK
17,DUNNING
18,MONTCLARE
19,BELMONT CRAGIN
2,WEST RIDGE
20,HERMOSA
21,AVONDALE
22,LOGAN SQUARE
23,HUMBOLDT PARK
24,WEST TOWN
25,AUSTIN
26,WEST GARFIELD PARK
27,EAST GARFIELD PARK
28,NEAR WEST SIDE
29,NORTH LAWNDALE
3,UPTOWN
30,SOUTH LAWNDALE
31,LOWER WEST SIDE
33,NEAR SOUTH SIDE
34,ARMOUR SQUARE
10,NORWOOD PARK
8,NEAR NORTH SIDE
32,LOOP
43,SOUTH SHORE
44,CHATHAM
45,AVALON PARK
46,SOUTH CHICAGO
47,BURNSIDE
59,MCKINLEY PARK
6,LAKE VIEW
48,CALUMET HEIGHTS
49,ROSELAND
5,NORTH CENTER
50,PULLMAN
51,SOUTH DEERING
52,EAST SIDE
53,WEST PULLMAN
54,RIVERDALE
55,HEGEWISCH
56,GARFIELD RIDGE
57,ARCHER HEIGHTS
58,BRIGHTON PARK
60,BRIDGEPORT
61,NEW CITY
62,WEST ELSDON
63,GAGE PARK
64,CLEARING
65,WEST LAWN
66,CHICAGO LAWN
67,WEST ENGLEWOOD
68,ENGLEWOOD
69,GREATER GRAND CROSSING
7,LINCOLN PARK
70,ASHBURN
71,AUBURN GRESHAM
72,BEVERLY
73,WASHINGTON HEIGHTS
74,MOUNT GREENWOOD
75,MORGAN PARK
76,OHARE
77,EDGEWATER
9,EDISON PARK
