Authors,Title,Year,Source title,Cited by
"Chen Y., Popko B.",Cholesterol crystals impede nerve repair: Cholesterol deposits in phagocytic cells disrupt the repair of demyelinated axons,2018,Science,0
"Church S.H., Donoughe S., de Medeiros B.A.S., Extavour C.G.",Insect egg size and shape evolve with ecology but not developmental rate,2019,Nature,0
Coates M.,Plenty of fish in the tree,2017,Nature,0
Erwin D.H.,David M. Raup (1933-2015),2015,Nature,0
"Girard M., Wang S., Du J.S., Das A., Huang Z., Dravid V.P., Lee B., Mirkin C.A., de la Cruz M.O.",Particle analogs of electrons in colloidal crystals,2019,Science,0
Lederman L.,The pleasure of learning,2004,Nature,0
"Poeppel D., Brown M., Solomon S., Coyne J.A., Wang M.-W., Zittrain J., Zimmer C., Frankel F., Rienhoff H.Y., Hood B., Shubin N., Scott E., Knapp S., Kepecs A.",A break from the bench,2009,Nature,0
Rosner R.,Movers,2005,Nature,0
Ross L.F.,The safety dance,2015,Science,0
Shubin N.,Farish A. Jenkins Jr (1940-2012).,2012,Nature,0
"Bienfait A., Satzinger K.J., Zhong Y.P., Chang H.-S., Chou M.-H., Conner C.R., Dumur É., Grebel J., Peairs G.A., Povey R.G., Cleland A.N.",Phonon-mediated quantum state transfer and remote qubit entanglement,2019,Science,1
Coyne J.A.,Evolution. Ernst Mayr (1904-2005).,2005,Science,1
Coyne J.A.,Gould and God,2003,Nature,1
"Feng L., Hu J., Clark L.W., Chin C.",Correlations in high-harmonic generation of matter-wave jets revealed by pattern recognition,2019,Science,1
"Frank E.G., Wilcove D.S.",Long delays in banning trade in threatened species,2019,Science,1
Kadanoff L.P.,Kenneth geddes wilson (1936—2013),2013,Nature,1
"Mangravite L.M., Engelhardt B.E., Stephens M., Krauss R.M.",Mangravite et al. reply,2014,Nature,1
"Sikora M., Pitulko V.V., Sousa V.C., Allentoft M.E., Vinner L., Rasmussen S., Margaryan A., de Barros Damgaard P., de la Fuente C., Renaud G., Yang M.A., Fu Q., Dupanloup I., Giampoudakis K., Nogués-Bravo D., Rahbek C., Kroonen G., Peyrot M., McColl H., Vasilyev S.V., Veselovskaya E., Gerasimova M., Pavlova E.Y., Chasnyk V.G., Nikolskiy P.A., Gromov A.V., Khartanovich V.I., Moiseyev V., Grebenyuk P.S., Fedorchenko A.Y., Lebedintsev A.I., Slobodin S.B., Malyarchuk B.A., Martiniano R., Meldgaard M., Arppe L., Palo J.U., Sundell T., Mannermaa K., Putkonen M., Alexandersen V., Primeau C., Baimukhanov N., Malhi R.S., Sjögren K.-G., Kristiansen K., Wessman A., Sajantila A., Lahr M.M., Durbin R., Nielsen R., Meltzer D.J., Excoffier L., Willerslev E.",The population history of northeastern Siberia since the Pleistocene,2019,Nature,1
"Strober B.J., Elorbany R., Rhodes K., Krishnan N., Tayeb K., Battle A., Gilad Y.",Dynamic genetic regulation of gene expression during cellular differentiation,2019,Science,1
Turner M.,Cosmology: No miracle in the multiverse,2010,Nature,1
"Berkowitz T., Schaeffer M.W., Rozek C.S., Maloney E.A., Levine S.C., Beilock S.L.","Response to Comment on ""math at home adds up to achievement in school""",2016,Science,2
Buffett B.A.,Taking earth temperature,2007,Science,2
