id,name,latitude,longitude,dpcapacity,dateCreated
5,State St & Harrison St,41.87395806,-87.62773949,19,6/10/2013 10:46
13,Wilton Ave & Diversey Pkwy,41.93250008,-87.65268082,19,6/22/2013 18:29
14,Morgan St & 18th St,41.858086,-87.651073,15,6/22/2013 18:33
15,Racine Ave & 19th St,41.856453,-87.656471,15,6/22/2013 18:35
16,Wood St & North Ave,41.910329,-87.672516,15,6/22/2013 18:55
17,Wood St & Division St,41.90332,-87.67273,15,6/22/2013 18:58
19,Loomis St & Taylor St,41.869417,-87.660996,15,6/22/2013 19:03
20,Sheffield Ave & Kingsbury St,41.90959193,-87.65349723,15,6/22/2013 19:04
21,Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,15,6/22/2013 19:07
22,May St & Taylor St,41.8694821,-87.6554864,15,6/22/2013 19:09
23,Orleans St & Elm St,41.902924,-87.637715,15,6/22/2013 20:20
24,Fairbanks Ct & Grand Ave,41.89186,-87.62062,15,6/22/2013 20:23
25,Michigan Ave & Pearson St,41.89766,-87.62351,23,6/22/2013 20:26
26,McClurg Ct & Illinois St,41.89102,-87.6173,23,6/22/2013 20:28
27,Larrabee St & North Ave,41.91021,-87.6435,19,6/22/2013 20:31
28,Larrabee St & Menomonee St,41.91468,-87.64332,15,6/22/2013 20:38
29,Noble St & Milwaukee Ave,41.90068,-87.6626,15,6/22/2013 20:52
30,Ashland Ave & Augusta Blvd,41.899643,-87.6677,15,6/22/2013 20:54
31,Franklin St & Chicago Ave,41.89680204,-87.63563839,23,6/22/2013 20:58
32,Racine Ave & Congress Pkwy,41.87464,-87.65703,19,6/22/2013 21:00
33,State St & Van Buren St,41.877181,-87.627844,27,6/22/2013 21:06
34,Cannon Dr & Fullerton Ave,41.92675599,-87.63442878,15,6/22/2013 21:09
35,Streeter Dr & Illinois St,41.891071,-87.6122,35,6/22/2013 21:12
36,Franklin St & Jackson Blvd,41.87770796,-87.63532114,27,6/24/2013 23:34
37,Dearborn St & Adams St,41.87935636,-87.62979104,19,6/25/2013 1:12
