Authors,Title,Year,Journal,Cites,Affiliations
"Routy B., Le Chatelier E., Derosa L., Duong C.P.M., Alou M.T., Daillère R., Fluckiger A., Messaoudene M., Rauber C., Roberti M.P., Fidelle M., Flament C., Poirier-Colame V., Opolon P., Klein C., Iribarren K., Mondragón L., Jacquelot N., Qu B., Ferrere G., Clémenson C., Mezquita L., Masip J.R., Naltet C., Brosseau S., Kaderbhai C., Richard C., Rizvi H., Levenez F., Galleron N., Quinquis B., Pons N., Ryffel B., Minard-Colin V., Gonin P., Soria J.-C., Deutsch E., Loriot Y., Ghiringhelli F., Zalcman G., Goldwasser F., Escudier B., Hellmann M.D., Eggermont A., Raoult D., Albiges L., Kroemer G., Zitvogel L.",Gut microbiome influences efficacy of PD-1-based immunotherapy against epithelial tumors,2018,Science,460,"Gustave Roussy Cancer Campus (GRCC), Villejuif, France; Institut National de la Santé et de la Recherche Medicale (INSERM) U1015, Equipe Labellisée-Ligue Nationale Contre le Cancer, Villejuif, France; Univ Paris-Sud, Université Paris-Saclay, Gustave Roussy, Villejuif, France; MGP MetaGénoPolis, INRA, Université Paris-Saclay, Jouy-en-Josas, France; Center of Clinical Investigations in Biotherapies of Cancer (CICBT), Villejuif, 1428, France; Gustave Roussy, Laboratoire de Pathologie Expérimentale, Villejuif, 94800, France; Centre de Recherche des Cordeliers, INSERM, Université Paris Descartes, Sorbonne Paris Cité, UMRS 1138, Université Pierre et Marie Curie Université Paris 06, Sorbonne Universités, Paris, France; Metabolomics and Cell Biology Platforms, GRCC, Villejuif, France; Paris Descartes University, Sorbonne Paris Cité, Paris, France; Equipe 11 Labellisée-Ligue Nationale Contre le Cancer, Centre de Recherche des Cordeliers, Paris, France; INSERM U1138, Paris, France; Université Pierre et Marie Curie, Paris, France; Department of Radiation Oncology, INSERM U1030, Molecular Radiotherapy, Gustave Roussy, Université Paris-Saclay, Villejuif, F-94805, France; Department of Medical Oncology, Gustave Roussy, Villejuif, France; Thoracic Oncology Department-CIC1425, CLIP2 Paris-Nord, Hospital Bichat-Claude Bernard, AP-HP, Université Paris-Diderot, Paris, France; Department of Medical Oncology, Center GF Leclerc, Dijon, France; Druckenmiller Center for Lung Cancer Research, Memorial Sloan Kettering Cancer Center, New York, NY, United States; Molecular Immunology and Embryology, UMR 7355, CNRS, University of Orleans, Orléans, France; Department of Pediatric Oncology, GRCC, Villejuif, France; Preclinical Research Platform, GRCC, Villejuif, France; Department of Medical Oncology, Cochin Hospital, Assistance Publique-Hôpitaux de Paris, Paris, France; Immunomodulatory Therapies Multidisciplinary Study Group (CERTIM), Paris, France; INSERM U981, GRCC, Villejuif, France; Department of Medicine, Thoracic Oncology Service, Memorial Sloan Kettering Cancer Center, New York, NY, United States; Department of Medicine, Weill Cornell Medical College, New York, NY, United States; URMITE, Aix Marseille Université, UM63, CNRS 7278, IRD 198, INSERM 1095, IHU-Méditerranée Infection, Marseille, 13005, France; Pôle de Biologie, Hôpital Européen Georges Pompidou, Assistance Publique-Hôpitaux de Paris, Paris, France; Department of Women's and Children's Health, Karolinska University Hospital, Stockholm, 17176, Sweden"
"Gopalakrishnan V., Spencer C.N., Nezi L., Reuben A., Andrews M.C., Karpinets T.V., Prieto P.A., Vicente D., Hoffman K., Wei S.C., Cogdill A.P., Zhao L., Hudgens C.W., Hutchinson D.S., Manzo T., Petaccia De Macedo M., Cotechini T., Kumar T., Chen W.S., Reddy S.M., Szczepaniak Sloane R., Galloway-Pena J., Jiang H., Chen P.L., Shpall E.J., Rezvani K., Alousi A.M., Chemaly R.F., Shelburne S., Vence L.M., Okhuysen P.C., Jensen V.B., Swennes A.G., McAllister F., Marcelo Riquelme Sanchez E., Zhang Y., Le Chatelier E., Zitvogel L., Pons N., Austin-Breneman J.L., Haydu L.E., Burton E.M., Gardner J.M., Sirmans E., Hu J., Lazar A.J., Tsujikawa T., Diab A., Tawbi H., Glitza I.C., Hwu W.J., Patel S.P., Woodman S.E., Amaria R.N., Davies M.A., Gershenwald J.E., Hwu P., Lee J.E., Zhang J., Coussens L.M., Cooper Z.A., Futreal P.A., Daniel C.R., Ajami N.J., Petrosino J.F., Tetzlaff M.T., Sharma P., Allison J.P., Jenq R.R., Wargo J.A.",Gut microbiome modulates response to anti-PD-1 immunotherapy in melanoma patients,2018,Science,395,"Department of Surgical Oncology, University of Texas MD Anderson Cancer Center, Houston, TX  77030, United States; Department of Epidemiology, Human Genetics and Environmental Sciences, University of Texas School of Public Health, Houston, TX  77030, United States; Department of Genomic Medicine, University of Texas MD Anderson Cancer Center, Houston, TX  77030, United States; Department of Epidemiology, University of Texas MD Anderson Cancer Center, Houston, TX  77030, United States; Department of Immunology, University of Texas MD Anderson Cancer Center, Houston, TX  77030, United States; Department of Translational Molecular Pathology, University of Texas MD Anderson Cancer Center, Houston, TX  77030, United States; Department of Molecular Virology and Microbiology, Baylor College of Medicine, Houston, TX  77030, United States; Department of Cell, Developmental and Cell Biology, Oregon Health and Sciences University, Portland, OR  97239, United States; Department of Pathology, University of Texas MD Anderson Cancer Center, Houston, TX  77030, United States; Department of Breast Medical Oncology, University of Texas MD Anderson Cancer Center, Houston, TX  77030, United States; Department of Infectious Diseases, University of Texas MD Anderson Cancer Center, Houston, TX  77030, United States; Department of Stem Cell Transplantation, University of Texas MD Anderson Cancer Center, Houston, TX  77030, United States; Department of Veterinary Medicine and Surgery, University of Texas MD Anderson Cancer Center, Houston, TX  77030, United States; Department of Clinical Cancer Prevention, University of Texas MD Anderson Cancer Center, Houston, TX  77030, United States; Centre de Recherche de Jouy-en-Josas, Institut National de la Recherche Agronomique, Jouy-en-Josas, 78352, France; Centre D'Investigation Clinique Biothérapie, Institut Gustave-Roussy, Villejuif Cedex, 94805, France; Department of Melanoma Medical Oncology, University of Texas MD Anderson Cancer Center, Houston, TX  77030, United States; Department of Biostatistics, University of Texas MD Anderson Cancer Center, Houston, TX  77030, United States; Department of Genitourinary Medical Oncology, University of Texas MD Anderson Cancer Center, Houston, TX  77030, United States; University of Rochester James P. Wilmot Cancer Center, Rochester, NY  14642, United States; A.C.Camargo Cancer Center, São Paolo, Brazil; Moffitt Cancer Center, Tampa, FL  33612, United States; Harvard University, Cambridge, MA  02138, United States; MedImmune, Gaithersburg, MD  20878, United States"
"Meng L., Zhang Y., Wan X., Li C., Zhang X., Wang Y., Ke X., Xiao Z., Ding L., Xia R., Yip H.-L., Cao Y., Chen Y.",Organic and solution-processed tandem solar cells with 17.3% efficiency,2018,Science,362,"State Key Laboratory and Institute of Elemento-Organic Chemistry, College of Chemistry, Nankai University, Tianjin, 300071, China; Key Laboratory of Nanosystem and Hierarchical Fabrication (CAS), Center for Excellence in Nanoscience (CAS), Beijing, 100190, China; State Key Laboratory of Luminescent Materials and Devices, Institute of Polymer Optoelectronic Materials and Devices, South China University of Technology, Guangzhou, 510640, China"
"Cohen J.D., Li L., Wang Y., Thoburn C., Afsari B., Danilova L., Douville C., Javed A.A., Wong F., Mattox A., Hruban R.H., Wolfgang C.L., Goggins M.G., Molin M.D., Wang T.-L., Roden R., Klein A.P., Ptak J., Dobbyn L., Schaefer J., Silliman N., Popoli M., Vogelstein J.T., Browne J.D., Schoen R.E., Brand R.E., Tie J., Gibbs P., Wong H.-L., Mansfield A.S., Jen J., Hanash S.M., Falconi M., Allen P.J., Zhou S., Bettegowda C., Diaz L.A., Jr., Tomasetti C., Kinzler K.W., Vogelstein B., Lennon A.M., Papadopoulos N.",Detection and localization of surgically resectable cancers with a multi-analyte blood test,2018,Science,294,"Ludwig Center for Cancer Genetics and Therapeutics, Johns Hopkins University School of Medicine, Baltimore, MD  21205, United States; Howard Hughes Medical Institute, Johns Hopkins University School of Medicine, Baltimore, MD  21205, United States; Sidney Kimmel Cancer Center, Johns Hopkins University School of Medicine, Baltimore, MD  21205, United States; Sol Goldman Pancreatic Cancer Research Center, Johns Hopkins University School of Medicine, Baltimore, MD  21205, United States; Department of Biomedical Engineering, Johns Hopkins University School of Medicine, Baltimore, MD  21205, United States; Department of Biostatistics, Johns Hopkins University Bloomberg School of Public Health, Baltimore, MD  21205, United States; Division of Biostatistics and Bioinformatics, Department of Oncology, Johns Hopkins Medical Institutions, Baltimore, MD  21287, United States; Department of Surgery, Johns Hopkins Medical Institutions, Baltimore, MD  21287, United States; Department of Pathology, Johns Hopkins Medical Institutions, Baltimore, MD  21287, United States; Department of Medicine, Johns Hopkins Medical Institutions, Baltimore, MD  21287, United States; Department of Oncology, Johns Hopkins Medical Institutions, Baltimore, MD  21287, United States; Department of Epidemiology, Johns Hopkins University Bloomberg School of Public Health, Baltimore, MD  21205, United States; Institute for Computational Medicine, Johns Hopkins University School of Medicine, Baltimore, MD  21205, United States; Department of Computer Science, Johns Hopkins University Whiting School of Engineering, Baltimore, MD  21218, United States; Department of Medicine, University of Pittsburgh, Pittsburgh, PA  15260, United States; Department of Epidemiology, University of Pittsburgh, Pittsburgh, PA  15260, United States; Division of Systems Biology and Personalized Medicine, Walter and Eliza Hall Institute of Medical Research, Parkville, VIC  3021, Australia; Faculty of Medicine, Dentistry and Health Sciences, University of Melbourne, Melbourne, VIC  3010, Australia; Department of Medical Oncology, Western Health, Melbourne, VIC  3021, Australia; Department of Medical Oncology, Peter MacCallum Cancer Center, Melbourne, VIC  3000, Australia; Division of Medical Oncology, Department of Oncology, Mayo Clinic, Rochester, MN  55902, United States; Division of Experimental Pathology, Department of Laboratory Medicine and Pathology, Mayo Clinic, Rochester, MN  55902, United States; Sheikh Ahmed Center for Pancreatic Cancer Research, University of Texas MD Anderson Cancer Center, Houston, TX  77030, United States; Division of Pancreatic Surgery, Department of Surgery, San Raffaele Scientific Institute Research Hospital, Milan, 20132, Italy; Department of Surgery, Memorial Sloan-Kettering Cancer Center, New York, NY  10065, United States; Division of Solid Tumor Oncology, Memorial Sloan-Kettering Cancer Center, New York, NY  10065, United States"
"Vosoughi S., Roy D., Aral S.",The spread of true and false news online,2018,Science,285,"Massachusetts Institute of Technology (MIT), Media Lab, E14-526, 75 Amherst Street, Cambridge, MA  02142, United States; MIT, E62-364, 100 Main Street, Cambridge, MA  02142, United States"
"Matson V., Fessler J., Bao R., Chongsuwat T., Zha Y., Alegre M.-L., Luke J.J., Gajewski T.F.",The commensal microbiome is associated with anti-PD-1 efficacy in metastatic melanoma patients,2018,Science,241,"Department of Pathology, University of Chicago, Chicago, IL  60637, United States; Center for Research Informatics, University of ChicagoIL  60637, United States; Department of Pediatrics, University of ChicagoIL  60637, United States; Department of Medicine, University of Chicago, Chicago, IL  60637, United States"
"Hughes T.P., Anderson K.D., Connolly S.R., Heron S.F., Kerry J.T., Lough J.M., Baird A.H., Baum J.K., Berumen M.L., Bridge T.C., Claar D.C., Eakin C.M., Gilmour J.P., Graham N.A.J., Harrison H., Hobbs J.-P.A., Hoey A.S., Hoogenboom M., Lowe R.J., McCulloch M.T., Pandolfi J.M., Pratchett M., Schoepf V., Torda G., Wilson S.K.",Spatial and temporal patterns of mass bleaching of corals in the Anthropocene,2018,Science,204,"Australian Research Council (ARC), Centre of Excellence for Coral Reef Studies, James Cook University, Townsville, QLD  4811, Australia; College of Marine and Environmental Sciences, James Cook University, Townsville, QLD  4811, Australia; Coral Reef Watch, U.S National Oceanic and Atmospheric Administration, College Park, MD  20740, United States; Marine Geophysical Laboratory, Physics Department, College of Science, Technology, and Engineering, James Cook University, Townsville, QLD  4811, Australia; Australian Institute of Marine Science, PMB 3, Townsville, QLD  4810, Australia; Department of Biology, University of Victoria, Victoria, BC  V8W 2Y2, Canada; Red Sea Research Center, King Abdullah University of Science and Technology, Thuwal, 23599-6900, Saudi Arabia; Queensland Museum, 70-102 Flinders Street, Townsville, QLD  4810, Australia; Australian Institute of Marine Science, Indian Ocean Marine Science Centre, University of Western Australia (UWA)WA  6009, Australia; Lancaster Environment Centre, Lancaster University, Lancaster, LA1 4YQ, United Kingdom; Department of Environment and Agriculture, Curtin University, Perth, WA  6845, Australia; ARC Centre of Excellence in Coral Reef Studies, UWA Oceans Institute, School of Earth Sciences, University of Western Australia, Crawley, WA  6009, Australia; ARC Centre of Excellence for Coral Reef Studies, School of Biological Sciences, University of Queensland, Brisbane, QLD  4072, Australia; Department of Biodiversity, Conservation and Attractions, Kensington, Perth, WA  6151, Australia"
"Appels R., Eversole K., Feuillet C., Keller B., Rogers J., Stein N., Pozniak C.J., Choulet F., Distelfeld A., Poland J., Ronen G., Barad O., Baruch K., Keeble-Gagnère G., Mascher M., Ben-Zvi G., Josselin A.-A., Himmelbach A., Balfourier F., Gutierrez-Gonzalez J., Hayden M., Koh C.S., Muehlbauer G., Pasam R.K., Paux E., Rigault P., Tibbits J., Tiwari V., Spannagl M., Lang D., Gundlach H., Haberer G., Mayer K.F.X., Ormanbekova D., Prade V., Wicker T., Swarbreck D., Rimbert H., Felder M., Guilhot N., Kaithakottil G., Keilwagen J., Leroy P., Lux T., Twardziok S., Venturini L., Juhasz A., Abrouk M., Fischer I., Uauy C., Borrill P., Ramirez-Gonzalez R.H., Arnaud D., Chalabi S., Chalhoub B., Cory A., Datla R., Davey M.W., Jacobs J., Robinson S.J., Steuernagel B., Van Ex F., Wulff B.B.H., Benhamed M., Bendahmane A., Concia L., Latrasse D., Alaux M., Bartoš J., Bellec A., Berges H., Doležel J., Frenkel Z., Gill B., Korol A., Letellier T., Olsen O.-A., Šimková H., Singh K., Valárik M., Van Der Vossen E., Vautrin S., Weining S., Fahima T., Glikson V., Raats D., Toegelová H., Vrána J., Sourdille P., Darrier B., Barabaschi D., Cattivelli L., Hernandez P., Galvez S., Budak H., Jones J.D.G., Witek K., Yu G., Small I., Melonek J., Zhou R., Belova T., Kanyuka K., King R., Nilsen K., Walkowiak S., Cuthbert R., Knox R., Wiebe K., Xiang D., Rohde A., Golds T., Čížkova J., Akpinar B.A., Biyiklioglu S., Gao L., N'Daiye A., Číhalíková J., Kubaláková M., Šafář J., Alfama F., Adam-Blondon A.-F., Flores R., Guerche C., Loaec M., Quesneville H., Sharpe A.G., Condie J., Ens J., Maclachlan R., Tan Y., Alberti A., Aury J.-M., Barbe V., Couloux A., Cruaud C., Labadie K., Mangenot S., Wincker P., Kaur G., Luo M., Sehgal S., Chhuneja P., Gupta O.P., Jindal S., Kaur P., Malik P., Sharma P., Yadav B., Singh N.K., Khurana J.P., Chaudhary C., Khurana P., Kumar V., Mahato A., Mathur S., Sevanthi A., Sharma N., Tomar R.S., Holušová K., Plíhal O., Clark M.D., Heavens D., Kettleborough G., Wright J., Balcárková B., Hu Y., Ravin N., Skryabin K., Beletsky A., Kadnikov V., Mardanov A., Nesterov M., Rakitin A., Sergeeva E., Kanamori H., Katagiri S., Kobayashi F., Nasuda S., Tanaka T., Wu J., Cattonaro F., Jiumeng M., Kugler K., Pfeifer M., Sandve S., Xun X., Zhan B., Batley J., Bayer P.E., Edwards D., Hayashi S., Tulpová Z., Visendi P., Cui L., Du X., Feng K., Nie X., Tong W., Wang L., International Wheat Genome Sequencing Consortium (IWGSC)",Shifting the limits in wheat research and breeding using a fully annotated reference genome,2018,Science,187,"AgriBio, Centre for AgriBioscience, Department of Economic Development, Jobs, Transport, and Resources, La Trobe University, 5 Ring Road, Bundoora, VIC  3083, Australia; International Wheat Genome Sequencing Consortium (IWGSC), 5207 Wyoming Road, Bethesda, MD  20816, United States; Eversole Assoc., 5207 Wyoming Road, Bethesda, MD  20816, United States; Leibniz Institute of Plant Genetics and Crop Plant Research (IPK), Genebank, Corrensstr. 3, Stadt Seeland, 06466, Germany; University of Western Australia (UWA), School of Agriculture and Environment, 35 Stirling Highway, Crawley, WA  6009, Australia; International Wheat Genome Sequencing Consortium (IWGSC), 18 High Street, Little Eversden, Cambridge, CB23 1HE, United Kingdom; GDEC (Genetics, Diversity and Ecophysiology of Cereals), INRA, Université Clermont Auvergne (UCA), 5 chemin de Beaulieu, Clermont-Ferrand, 63039, France; Institute of Experimental Botany, Centre of the Region Haná for Biotechnological and Agricultural Research, Šlechtitelù 31, Olomouc, CZ-78371, Czech Republic; Helmholtz Center Munich, Plant Genome and Systems Biology (PGSB), Ingolstaedter Landstr. 1, Neuherberg, 85764, Germany; John Innes Centre, Crop Genetics, Norwich Research Park, Norwich, NR4 7UH, United Kingdom; University of Saskatchewan, Crop Development Centre, Agriculture Building, 51 Campus Drive, Saskatoon, SK  S7N 5A8, Canada; NRGene Ltd., 5 Golda Meir Street, Ness Ziona, 7403648, Israel; URGI, INRA, Université Paris-Saclay, Versailles, 78026, France; Plant Sciences and Plant Pathology, Cereal Genomics Lab, Montana State University, 412 Leon Johnson Hall, Bozeman, MT  59717, United States; Biology Department, Institute of Plant Sciences-Paris-Saclay, rue de Noetzlin, Plateau du Moulon, CS80004, Gif-sur-Yvette Cedex, 91192, France; Council for Agricultural Research and Economics (CREA), Research Centre for Genomics and Bioinformatics, via S. Protaso, 302, Fiorenzuola d'Arda, I-29017, Italy; Bayer CropScience, Crop Science Division, Research and Development, Innovation Centre, 3500 Paramount Parkway, Morrisville, NC  27560, United States; Bayer CropScience, Trait Research, Innovation Center, Technologiepark 38, Gent, 9052, Belgium; Biological and Environmental Science and Engineering Division, King Abdullah University of Science and Technology, Thuwal, 23955-6900, Saudi Arabia; INRA, CNRGV, chemin de Borde Rouge, CS 52627, Castanet-Tolosan Cedex, 31326, France; Agriculture and Agri-Food Canada, Swift Current Research and Development Centre, Box 1030, Swift Current, SK  S9H 3X2, Canada; National Research Council Canada, Aquatic and Crop Resource Development, 110 Gymnasium Place, Saskatoon, SK  S7N 0W9, Canada; Research Center of Biotechnology, Russian Academy of Sciences, Institute of Bioengineering, Leninsky Avenue 33, Moscow, 119071, Russian Federation; School of Biological Sciences, Institute of Agriculture, University of Western Australia, Perth, WA  6009, Australia; School of Plant Sciences and Food Security, Tel Aviv University, Ramat Aviv, 69978, Israel; University of Haifa, Institute of Evolution, Department of Evolutionary and Environmental Biology, 199 Abba-Hushi Avenue, Mount Carmel, Haifa, 3498838, Israel; Universidad de Málaga, Lenguajes y Ciencias de la Computación, Campus de Teatinos, Málaga, 29071, Spain; Plant Pathology, Throckmorton Hall, Kansas State University, Manhattan, KS  66506, United States; MultiQTL Ltd., University of Haifa, Haifa, 3498838, Israel; Department of Agronomy and Plant Genetics, University of Minnesota, 411 Borlaug Hall, St. Paul, MN  55108, United States; Institute of Crop Science, NARO, 2-1-2 Kannondai, Tsukuba, Ibaraki, 305-8518, Japan; Queensland University of Technology, Earth, Environmental and Biological Sciences, Brisbane, QLD  4001, Australia; Instituto de Agricultura Sostenible (IAS-CSIC), Consejo Superior de Investigaciones Científicas, Alameda del Obispo s/n, Córdoba, 14004, Spain; Department of Plant Sciences, University of California, Davis, One Shield Avenue, Davis, CA  95617, United States; Sainsbury Laboratory, Norwich Research Park, Norwich, NR4 7UH, United Kingdom; Murdoch University, Australia-China Centre for Wheat Improvement, School of Veterinary and Life Sciences, 90 South Street, Murdoch, WA  6150, Australia; Agricultural Institute, MTA Centre for Agricultural Research, Applied Genomics Department, 2 Brunszvik Street, Martonvásár, H2462, Hungary; Rothamsted Research Biointeractions and Crop Protection, West Common, Harpenden, AL5 2JQ, United Kingdom; GYDLE, 1135 Grande Allee, Ouest, Quebec, QC  G1S 1E7, Canada; Julius Kuhn-Institut, Institute for Biosafety in Plant Biotechnology, Erwin-Baur-Str. 27, Quedlinburg, 06484, Germany; Department of Plant and Microbial Biology, University of Zurich, Zollikerstrasse 107, Zurich, 8008, Switzerland; Rothamsted Research, Computational and Analytical Sciences, West Common, Harpenden, AL5 2JQ, United Kingdom; University of Saskatchewan, Global Institute for Food Security, 110 Gymnasium Place, Saskatoon, SK  S7N 4J8, Canada; School of Life Sciences Weihenstephan, Technical University of Munich, Freising, 85354, Germany; School of Molecular Sciences, ARC Centre of Excellence in Plant Energy Biology, University of Western Australia, 35 Stirling Highway, Crawley, WA  6009, Australia; Graduate School of Agriculture, Kyoto University, Kitashirakawaoiwake-cho, Sakyo-ku, Kyoto, 606-8502, Japan; Federal Research Center Institute of Cytology and Genetics, SB RAS, pr. Lavrentyeva 10, Novosibirsk, 630090, Russian Federation; Department of Agricultural Sciences, University of Bologna, Viale Fanin, 44, Bologna, 40127, Italy; Department of Molecular Biology, Centre of the Region Hana for Biotechnological and Agricultural Research, Palacky University, Šlechtitel. 27, Olomouc, CZ-78371, Czech Republic; E arlham Institute, Core Bioinformatics, Norwich, NR4 7UZ, United Kingdom; Faculty of Biology, Moscow State University, Leninskie Gory, 1, Moscow, 119991, Russian Federation; Agriculture and Agri-Food Canada, Saskatoon Research and Development Centre, 107 Science Place, Saskatoon, SK  S7N 0X2, Canada; Agronomy Horticulture and Plant Science, South Dakota State University, 2108 Jackrabbit Drive, Brookings, SD  57006, United States; Plant Science and Landscape Architecture, University of Maryland, Plant Sciences Building, 4291 Fieldhouse Road, College Park, MD  20742, United States; University of Greenwich, Natural Resources Institute, Central Avenue, Chatham, Kent, ME4 4TB, United Kingdom; Faculty of Bioscience, Department of Plant Science, Norwegian University of Life Sciences, Arboretveien 6, As, 1433, Norway; Faculty of Bioscience, Department of Animal and Aquacultural Sciences, Norwegian University of Life Sciences, Arboretveien 6, As, 1433, Norway; Instituto di Genomica Applicata, Via J. Linussio 51, Udine, 33100, Italy; BGI-Shenzhen, BGI Genomics, Yantian District, Shenzhen, Guangdong, 518083, China; BGI-Shenzhen, BGI Genomics, BGI Park, No. 21 Hongan 3rd Street, Yantian District, Shenzhen, 518083, China; CEA-Institut de Biologie François-Jacob, Genoscope, 2 rue Gaston Crémieux, Evry Cedex, 91057, France; Monsanto SAS, Boissay, 28000, France; Institut National de la Recherche Agronomique (INRA), 2 rue Gaston Crémieux, Evry Cedex, 91057, France; Keygene, N.V., Agro Business Park 90, Wageningen, 6708 PW, Netherlands; Punjab Agricultural University, Ludhiana, School of Agricultural Biotechnology, ICAR-National Bureau of Plant Genetic Resources, Dev Prakash Shastri Marg, New Delhi, 110012, India; State Key Laboratory of Crop Stress Biology in Arid Areas, College of Agronomy, Northwest A and F University, Yangling, Shaanxi, 712101, China; German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig, Deutscher Platz 5e, Leipzig, 04103, Germany; CNRS, UMR 8030, CP5706, Evry, 91057, France; Université d'Evry, UMR 8030, CP5706, Evry, 91057, France; ICAR, National Research Centre on Plant Biotechnology, LBS Building, Pusa Campus, New Delhi, 110012, India; University of Delhi South Campus, Interdisciplinary Center for Plant Genomics, Department of Plant Molecular Biology, Benito Juarez Road, New Delhi, 110021, India; Bayer CropScience, Breeding and Trait Development, Technologiepark 38, Gent, 9052, Belgium; Department of Lifesciences, Natural History Museum, Cromwell Road, London, SW7 5BD, United Kingdom"
"Luo D., Yang W., Wang Z., Sadhanala A., Hu Q., Su R., Shivanna R., Trindade G.F., Watts J.F., Xu Z., Liu T., Chen K., Ye F., Wu P., Zhao L., Wu J., Tu Y., Zhang Y., Yang X., Zhang W., Friend R.H., Gong Q., Snaith H.J., Zhu R.",Enhanced photovoltage for inverted planar heterojunction perovskite solar cells,2018,Science,153,"State Key Laboratory for Artificial Microstructure and Mesoscopic Physics, Department of Physics, Peking University, Beijing, 100871, China; Collaborative, Innovation Center of Quantum Matter, Beijing, 100871, China; Clarendon Laboratory, Department of Physics, University of Oxford, Parks Road, Oxford, OX1 3PU, United Kingdom; Cavendish Laboratory, JJ Thomson Avenue, Cambridge, CB3 0HE, United Kingdom; Surface Analysis Laboratory, Faculty of Engineering and Physical Sciences, University of Surrey, Guildford, GU2 7XH, United Kingdom; Advanced Technology Institute, University of Surrey, Guildford, GU2 7XH, United Kingdom; Collaborative Innovation Center of Extreme Optics, Shanxi University, Taiyuan, Shanxi, 030006, China"
"Zhao L., Zhang F., Ding X., Wu G., Lam Y.Y., Wang X., Fu H., Xue X., Lu C., Ma J., Yu L., Xu C., Ren Z., Xu Y., Xu S., Shen H., Zhu X., Shi Y., Shen Q., Dong W., Liu R., Ling Y., Zeng Y., Wang X., Zhang Q., Wang J., Wang L., Wu Y., Zeng B., Wei H., Zhang M., Peng Y., Zhang C.",Gut bacteria selectively promoted by dietary fibers alleviate type 2 diabetes,2018,Science,152,"State Key Laboratory of Microbial Metabolism, Ministry of Education Key Laboratory of Systems Biomedicine, School of Life Sciences and Biotechnology, Shanghai Jiao Tong University, Shanghai, 200240, China; Department of Biochemistry and Microbiology, New Jersey Institute for Food, Nutrition, and Health, School of Environmental and Biological Sciences, Rutgers UniversityNJ  08901, United States; Department of Endocrinology and Metabolism, Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, 200080, China; Sijing Community Health Service Center of Songjiang District, Shanghai, 201601, China; Sijing Hospital of Songjiang District, Shanghai, 201601, China; Department of Endocrinology and Metabolism, Qidong People’s Hospital, Jiangsu, 226200, China; Department of Gastroenterology, Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, 200080, China; Department of Laboratory Animal Science, College of Basic Medical Sciences, Army Medical University, Chongqing, 400038, China"
