Authors,Title,Year,Source title,Page start,Page end,Cited by
"Calcagno, V., Mouquet, N., Jarne, P., David, P.",Rejoinder to Calcagno et al. (2006): Which immigration policy for optimal coexistence?,2006,Ecology Letters,909,911,1
"Ricklefs, R.E., Cadena, C.D.",Rejoinder to Ricklefs &amp; Cadena (2007): Response to Mace &amp; Pelletier,2007,Ecology Letters,874,875,1
"Barry, S.C.",Best practice in alien species risk assessment: A comment on Leung et al. (2012),2013,Ecology Letters,,,1
"Luque, G.M., Hochberg, M.E., Holyoak, M., Hossaert, M., Gaill, F., Courchamp, F.",Ecological effects of environmental change,2013,Ecology Letters,1,3,1
"Adler, F.R.",Commentary on Calcagno et al. (2006): Coexistence in a metacommunity: The competition-colonization trade-off is not dead,2006,Ecology Letters,907,909,2
"Murtaugh, P.A.",No evidence for an interactive effect of herbivore and predator diversity on herbivore abundance in the experimental mesocosms of Douglass et al. (2008),2008,Ecology Letters,,,2
"Mangel, M.",Accounting for uncertainty in marine reserve design: Commentary,2006,Ecology Letters,11,12,3
"Douglass, J.G., Duffy, J.E., Bruno, J.F., Gilchrist, G.W.",Correction of statistical miscalculation slightly alters conclusions about diversity effects for Douglass et al. (2008),2008,Ecology Letters,,,3
"Stohlgren, T.J., Flather, C., Jarnevich, C.S., Barnett, D.T., Kartesz, J.",Rejoinder to Harrison (2008): The myth of plant species saturation,2008,Ecology Letters,324,326,3
"Laloi, D., Richard, M., Fédérici, P., Clobert, J., Teillac-Deschamps, P., Massot, M.","Relationship between female mating strategy, litter success and offspring dispersal",2009,Ecology Letters,823,829,3
"Mace, G.M., Pelletier, F.",Commentary on Ricklefs &amp; Cadena (2007): Reproductive investment and lifespan,2007,Ecology Letters,872,874,4
"Habeck, C.W., Meehan, T.D.",Mass invariance of population nitrogen flux by terrestrial mammalian herbivores: An extension of the energetic equivalence rule,2008,Ecology Letters,898,903,4
"Lima, M.",A link between the North Atlantic Oscillation and measles dynamics during the vaccination period in England and Wales,2009,Ecology Letters,302,314,4
"Levy, O., Dayan, T., Rotics, S., Kronfeld-Schor, N.","Foraging sequence, energy intake and torpor: An individual-based field study of energy balancing in desert golden spiny mice",2012,Ecology Letters,1240,1248,4
"Harrison, S.",Commentary on Stohlgren et al. (2008): The myth of plant species saturation,2008,Ecology Letters,322,324,5
"Haridas, C.V., Tuljapurkar, S., Coulson, T.",Estimating stochastic elasticities directly from longitudinal data,2009,Ecology Letters,806,812,5
"Kaplan, D.M., Hart, D.R., Botsford, L.W.",Rotating spatial harvests and fishing effort displacement: A comment on Game et al. (2009),2010,Ecology Letters,,,5
"Gunning, C.E., Wearing, H.J.",Probabilistic measures of persistence and extinction in measles (meta)populations,2013,Ecology Letters,985,994,5
"Peichl, M., Sonnentag, O., Wohlfahrt, G., Flanagan, L.B., Baldocchi, D.D., Kiely, G., Galvagno, M., Gianelle, D., Marcolla, B., Pio, C., Migliavacca, M., Jones, M.B., Saunders, M.",Convergence of potential net ecosystem production among contrasting C&lt;inf&gt;3&lt;/inf&gt; grasslands,2013,Ecology Letters,502,512,5
"Powers, S.T., Lehmann, L.","The co-evolution of social institutions, demography, and large-scale human cooperation",2013,Ecology Letters,1356,1364,5
"Franks, D.W., Oxford, G.S.",The interrelationship between crypsis and colour polymorphism,2011,Ecology Letters,295,300,6
"Gouhier, T.C., Menge, B.A., Hacker, S.D.",Recruitment facilitation can promote coexistence and buffer population growth in metacommunities,2011,Ecology Letters,1201,1210,6
"Patot, S., Allemand, R., Fleury, F., Varaldi, J.",An inherited virus influences the coexistence of parasitoid species through behaviour manipulation,2012,Ecology Letters,603,610,6
"Tarwater, C.E., Beissinger, S.R.",Dispersal polymorphisms from natal phenotype-environment interactions have carry-over effects on lifetime reproductive success of a tropical parrot,2012,Ecology Letters,1218,1229,6
"Nilsson-Örtman, V., Stoks, R., De Block, M., Johansson, H., Johansson, F.",Latitudinally structured variation in the temperature dependence of damselfly growth rates,2013,Ecology Letters,64,71,6
"Packer, C., Swanson, A., Canney, S., Loveridge, A., Garnett, S., Pfeifer, M., Burton, A.C., Bauer, H., Macnulty, D.",The case for fencing remains intact,2013,Ecology Letters,,,6
