WeekCommencing,WeeklyOutpatientVisitsforILI,GoogleFluTrends
2010-01-03,1.945,2169
2010-01-10,1.784,1916
2010-01-17,1.876,1860
2010-01-24,1.873,1861
2010-01-31,2.042,1910
2010-02-07,2.002,1944
2010-02-14,1.935,2000
2010-02-21,1.974,1968
2010-02-28,1.855,1888
2010-03-07,1.848,1793
2010-03-14,1.7,1619
2010-03-21,1.483,1511
2010-03-28,1.425,1350
2010-04-04,1.172,1257
2010-04-11,1.135,1123
2010-04-18,1.14,1110
2010-04-25,1.164,1149
2010-05-02,1.098,1088
2010-05-09,1.135,1060
2010-05-16,1.105,1042
2010-05-23,1.077,989
2010-05-30,1.152,965
2010-06-06,0.936,858
2010-06-13,0.883,808
2010-06-20,0.91,786
2010-06-27,0.85,765
2010-07-04,0.888,760
2010-07-11,0.756,752
2010-07-18,0.734,737
2010-07-25,0.698,744
2010-08-01,0.78,757
2010-08-08,0.742,754
2010-08-15,0.816,804
2010-08-22,0.752,846
2010-08-29,0.872,924
2010-09-05,0.996,1030
2010-09-12,0.867,1187
2010-09-19,0.994,1315
2010-09-26,0.969,1335
2010-10-03,1.152,1430
2010-10-10,1.259,1421
2010-10-17,1.262,1566
2010-10-24,1.274,1596
2010-10-31,1.458,1685
2010-11-07,1.552,1758
2010-11-14,1.716,1864
2010-11-21,2.012,1661
2010-11-28,1.828,1960
2010-12-05,2.044,1943
2010-12-12,2.592,2113
2010-12-19,3.441,2512
2010-12-26,3.451,2917
2011-01-02,2.695,2978
2011-01-09,2.936,2726
2011-01-16,3.506,3089
2011-01-23,4.032,3554
2011-01-30,4.444,3601
2011-02-06,4.28,3784
2011-02-13,4.435,4077
2011-02-20,3.91,3565
2011-02-27,3.2,2980
2011-03-06,2.766,2482
2011-03-13,2.368,2076
2011-03-20,1.961,1776
2011-03-27,1.783,1589
2011-04-03,1.618,1405
2011-04-10,1.383,1228
2011-04-17,1.329,1126
2011-04-24,1.176,1055
2011-05-01,1.138,1013
2011-05-08,1.142,965
2011-05-15,1.077,937
2011-05-22,1.1,882
2011-05-29,1.151,859
2011-06-05,1.01,811
2011-06-12,0.952,744
2011-06-19,0.855,714
2011-06-26,0.847,651
2011-07-03,0.873,639
2011-07-10,0.726,626
2011-07-17,0.713,610
2011-07-24,0.709,604
2011-07-31,0.659,597
2011-08-07,0.681,616
2011-08-14,0.751,634
2011-08-21,0.829,717
2011-08-28,0.892,821
2011-09-04,0.968,951
2011-09-11,0.995,1127
2011-09-18,1.035,1343
2011-09-25,1.146,1521
2011-10-02,1.206,1587
2011-10-09,1.234,1640
2011-10-16,1.256,1608
2011-10-23,1.304,1638
2011-10-30,1.453,1788
2011-11-06,1.441,1797
2011-11-13,1.462,1880
2011-11-20,1.64,1785
2011-11-27,1.466,2033
2011-12-04,1.522,1981
2011-12-11,1.667,2094
2011-12-18,1.851,2370
2011-12-25,2.11,2741
2012-01-01,1.767,2860
2012-01-08,1.547,2500
2012-01-15,1.651,2411
2012-01-22,1.682,2475
2012-01-29,1.871,2507
2012-02-05,1.862,2348
2012-02-12,2.025,2501
2012-02-19,2.11,2710
2012-02-26,2.097,2519
2012-03-04,2.113,2586
2012-03-11,2.295,2556
2012-03-18,1.927,2162
2012-03-25,1.752,1936
2012-04-01,1.687,1801
2012-04-08,1.503,1799
2012-04-15,1.386,1785
2012-04-22,1.293,1729
2012-04-29,1.362,1625
2012-05-06,1.32,1651
2012-05-13,1.269,1624
2012-05-20,1.282,1537
2012-05-27,1.304,1428
2012-06-03,1.169,1329
2012-06-10,1.09,1265
2012-06-17,1.055,1136
2012-06-24,1.083,966
2012-07-01,1.053,911
2012-07-08,0.935,939
2012-07-15,0.908,897
2012-07-22,0.918,869
2012-07-29,0.961,869
2012-08-05,0.923,889
2012-08-12,0.912,977
2012-08-19,1.041,1095
2012-08-26,1.054,1199
2012-09-02,1.118,1374
2012-09-09,1.141,1543
2012-09-16,1.142,1737
2012-09-23,1.248,1895
2012-09-30,1.198,2018
2012-10-07,1.329,2325
2012-10-14,1.311,2391
2012-10-21,1.363,2369
2012-10-28,1.486,2349
2012-11-04,1.611,2492
2012-11-11,1.734,2913
2012-11-18,2.306,3040
2012-11-25,2.226,3641
2012-12-02,2.977,4427
2012-12-09,3.6,5132
2012-12-16,4.546,6359
2012-12-23,6.032,7904
2012-12-30,4.96,8618
2013-01-06,4.659,10112
2013-01-13,4.702,10555
2013-01-20,4.164,9408
2013-01-27,3.691,7209
2013-02-03,3.225,5541
2013-02-10,2.896,4555
2013-02-17,2.714,4240
2013-02-24,2.523,3784
2013-03-03,2.536,3504
2013-03-10,2.434,3242
2013-03-17,2.104,2894
2013-03-24,1.947,2673
2013-03-31,1.748,2482
2013-04-07,1.511,2121
2013-04-14,1.319,1747
2013-04-21,1.229,1681
2013-04-28,1.186,1534
2013-05-05,1.178,1438
2013-05-12,1.168,1286
2013-05-19,1.142,1165
2013-05-26,1.135,1149
2013-06-02,1.006,1063
2013-06-09,1.005,1024
2013-06-16,1,997
2013-06-23,0.903,966
2013-06-30,0.943,925
2013-07-07,0.823,941
2013-07-14,0.817,907
2013-07-21,0.806,956
2013-07-28,0.781,850
2013-08-04,0.782,869
2013-08-11,0.815,907
2013-08-18,0.831,952
2013-08-25,0.953,977
2013-09-01,1.039,1085
2013-09-08,1.073,1154
2013-09-15,1.124,1259
