Authors,Title,Year,Source title,Page start,Page end,Cited by
[No author name available],Touching base.,2005,Nature genetics.,1167,,1
"O'Reilly, P.F., Balding, D.J.",Admixture provides new insights into recombination,2011,Nature Genetics,819,820,1
"Rossi, J.J.",Stopping RNA interference at the seed,2011,Nature Genetics,288,289,1
"Palpant, T., Lieb, J.",Tuning gene expression with nucleosome-disfavoring sequences,2012,Nature Genetics,735,736,1
"Sun, S., Cleveland, D.W.",TDP-43 toxicity and the usefulness of junk,2012,Nature Genetics,1289,1291,1
"Kozyrev, S.V., Abelson, A.K., Wojcik, J., Zaghlool, A., Linga Reddy, M.P., Sanchez, E., Gunnarsson, I., Svenungsson, E., Sturfelt, G., Jönsen, A., Truedsson, L., Pons-Estel, B.A., Witte, T., D'Alfonso, S., Barrizzone, N., Danieli, M.G., Gutierrez, C., Suarez, A., Junker, P., Laustrup, H., Francisca González-Escribano, M., Martin, J., Abderrahim, H., Alarcón-Riquelme, M.E.",Corrigendum: Functional variants in the B-cell gene BANK1 are associated with systemic lupus erythematosus.,2008,Nature genetics,484,,2
"Nelson, D.L., Gibbs, R.A.",X-cess of variants in XLMR,2009,Nature Genetics,510,512,2
"Sung, M.-H., Hager, G.L.",More to Hi-C than meets the eye,2011,Nature Genetics,1047,1048,2
"Barrett, J.C.",From HLA association to function,2012,Nature Genetics,235,236,2
"Hall, N.",Genomic insights into the other malaria,2012,Nature Genetics,962,963,2
"Meyer, K.B., Carroll, J.S.",FOXA1 and breast cancer risk,2012,Nature Genetics,1176,1177,2
"Lake, C.M., Hawley, R.S.",RNF212 marks the spot,2013,Nature Genetics,228,229,2
"Turcan, S., Chan, T.A.",MAPping the genomic landscape of low-grade pediatric gliomas,2013,Nature Genetics,847,849,2
"Witt, H.",New modifier loci in cystic fibrosis,2011,Nature Genetics,508,509,3
"Lindroth, A.M., Plass, C.",Recurrent H3.3 alterations in childhood tumors,2013,Nature Genetics,1413,1414,3
"Pera, M.F.","Epigenetics, vitamin supplements and cellular reprogramming",2013,Nature Genetics,1412,1413,3
"Itoh, T., Toyoda, A., Taylor, T.D., Sakaki, Y., Hattori, M.",Identification of large ancient duplications associated with human gene deserts,2005,Nature Genetics,1041,1043,4
"Weinreich, D.M.",High-throughput identification of genetic interactions in HIV-1,2011,Nature Genetics,398,400,4
"Huang, X., Han, B.",A crop of maize variants,2012,Nature Genetics,734,735,4
"Krebs, A.R., Schübeler, D.",Tracking the evolution of cancer methylomes,2012,Nature Genetics,1173,1174,4
"Mitreva, M.",The genome of a blood fluke associated with human cancer,2012,Nature Genetics,116,118,4
"Benzing, T., Schermer, B.",Transition zone proteins and cilia dynamics,2011,Nature Genetics,723,724,5
"Visscher, P.M., Goddard, M.E.",Cattle gain stature,2011,Nature Genetics,397,398,5
