Authors,Title,Year,Source title,Page start,Page end,Cited by
"Logothetis, N.K.",Francis crick 1916-2004.,2004,Nature neuroscience,1027,1028,0
"Narain, C.",Object-specific unconscious processing.,2005,Nature neuroscience.,1288,,0
"Narain, C.",Going down BOLDly.,2006,Nature neuroscience,474,,0
"Narain, C.",Total recall.,2006,Nature neuroscience.,302,,0
"Vaillant, C., Monard, D.",Proteoglycans specify Sonic Hedgehog effect,2009,Nature Neuroscience,371,372,0
"Churchland, A.K.",Normalizing relations between the senses,2011,Nature Neuroscience,672,673,0
"Frank, M.E., Hettinger, T.P.",An axis of good and awful in odor reception,2011,Nature Neuroscience,1360,1362,0
"Gallo, V., Chew, L.-J.",An RXR-γ Rx for white-matter damage,2011,Nature Neuroscience,3,5,0
"Gundersen, B.",Reward and autoreceptors.,2011,Nature neuroscience,950,,0
"Peelen, M.V., Kastner, S.",Is that a bathtub in your kitchen?,2011,Nature Neuroscience,1224,1226,0
"Radulovic, J., Tronson, N.C.",Receptors in (e)motion,2011,Nature Neuroscience,1222,1224,0
"Smith, S.L., Smith, I.T.",Life imitates op art,2011,Nature Neuroscience,803,804,0
"Vardy, E., Roth, B.L.",Vision and olfaction say UNC-le to G proteins,2011,Nature Neuroscience,805,806,0
"Munns, C.H., Caterina, M.J.",Tune in to KCNQ,2012,Nature Neuroscience,8,10,0
"Suter, D.M., Hollenbeck, P.J.",How to get on the right track,2012,Nature Neuroscience,7,8,0
"Heshmati, M., Russo, S.J.",Learning to deal with life's ups and downs,2013,Nature Neuroscience,658,659,0
"Ilkhanizadeh, S., Weiss, W.A.",Starvation favors glioma stem cells,2013,Nature Neuroscience,1359,1361,0
"Masson, G.S., Goffart, L.",Fixate and stabilize: Shall the twain meet?,2013,Nature Neuroscience,663,664,0
"Pin, J.-P.",Tuning synaptic activity with light-controlled GPCRs,2013,Nature Neuroscience,377,389,0
"Wilson, S., Bautista, D.",Itching for relief,2013,Nature Neuroscience,775,776,0
"Allen, C.",A molecular light switch turns off neural activity.,2004,Nature neuroscience,1291,,1
"Narasimhan, K.",Quantifying motor neuron loss in ALS.,2006,Nature neuroscience,304,,1
"Narasimhan, K.",Unraveling the mechanisms of Angelman Syndrome.,2007,Nature neuroscience,275,,1
"Salinas, E.",Neuronal communication: A detailed balancing act,2009,Nature Neuroscience,372,374,1
"Sigrist, S.J., Plested, A.J.R.",How to button a bouton with α 2δs,2009,Nature Neuroscience,1357,1358,1
"Stanley, G.B.","It's not you, it's me. Really.",2009,Nature Neuroscience,374,375,1
"Moenter, S.M.",No holy grail for puberty,2011,Nature Neuroscience,670,672,1
"Soskis, M., Salogiannis, J., Greenberg, M.",EphrinBs send mixed messages,2011,Nature Neuroscience,1356,1358,1
"Barrow, S.L., McAllister, A.K.",Neuroligins help dendrites keep up with the Joneses,2012,Nature Neuroscience,1609,1611,1
"Castellani, V., Kania, A.",Breathless without Hox,2012,Nature Neuroscience,1607,1609,1
"Chan, R.B., Di Paolo, G.",Knockout punch: Cardiolipin oxidation in trauma,2012,Nature Neuroscience,1325,1327,1
"Dupret, D., Csicsvari, J.",The medial entorhinal cortex keeps Up,2012,Nature Neuroscience,1471,1472,1
"Kennerley, S.W.",Is the reward really worth it?,2012,Nature Neuroscience,647,649,1
"Lovinger, D.M.",New twist on orphan receptor GPR88 function,2012,Nature Neuroscience,1469,1470,1
"Marsicano, G., Chaouloff, F.",Moving bliss: A new anandamide transporter,2012,Nature Neuroscience,5,6,1
"Oren, I., Kullmann, D.M.",Mapping out hippocampal inhibition,2012,Nature Neuroscience,346,347,1
"Wyllie, D.J.A., Traynelis, S.F.",NMDA receptor permeation: A light in the tunnel,2012,Nature Neuroscience,343,344,1
"Zufall, F.",On the scent of mitochondrial calcium,2012,Nature Neuroscience,653,654,1
"Aron, R., Tsvetkov, A., Finkbeiner, S.",NUB1 snubs huntingtin toxicity,2013,Nature Neuroscience,523,525,1
"Bhanji, J.P., Delgado, M.R.",Should i buy this book How we construct prospective value,2013,Nature Neuroscience,1357,1359,1
"Gottlieb, J.",Slicing a pie is no piece of cake,2013,Nature Neuroscience,1364,1366,1
"Parent, J.M., Murphy, G.G.",Ganglionic eminence graft pre-eminence in epilepsy,2013,Nature Neuroscience,656,658,1
"Shohamy, D., Wimmer, G.E.",Dopamine and the cost of aging,2013,Nature Neuroscience,519,521,1
"Markus, A.",How dopamine neurons survive.,2007,Nature neuroscience,12,,2
"Sanders, L.H., Greenamyre, J.T.",Regulation of complex i by Engrailed is complex too,2011,Nature Neuroscience,1221,1222,2
"Dorostkar, M.M., Herms, J.",Arc illuminates Alzheimer's pathophysiology,2012,Nature Neuroscience,1323,1325,2
"Kelemen, E., Born, J.","Sleep tight, wake up bright",2012,Nature Neuroscience,1327,1329,2
"Stickgold, R.",To sleep: Perchance to learn,2012,Nature Neuroscience,1322,1323,2
"Tissir, F., Goffinet, A.M.",Cilia: Conductors' batons of neuronal maturation,2012,Nature Neuroscience,344,345,2
"Herrup, K., Chen, J., Li, J.",Breaking news: Thinking may be bad for DNA,2013,Nature Neuroscience,518,519,2
"Josselyn, S.A., Frankland, P.W.",MTORC2: Actin on your memory,2013,Nature Neuroscience,379,380,2
"Kepecs, A.",The uncertainty of it all,2013,Nature Neuroscience,660,662,2
"Chandrasekaran, C., Ghazanfar, A.A.",When what you see is not what you hear,2011,Nature Neuroscience,675,676,3
"Izuma, K., Adolphs, R.",The brain's rose-colored glasses,2011,Nature Neuroscience,1355,1356,3
"Weiss, T., Sobel, N.",What's primary about primary olfactory cortex?,2012,Nature Neuroscience,10,12,3
"Picciotto, M.R.",An indirect resilience to addiction,2013,Nature Neuroscience,521,523,3
"Wang, G.J., Kang, L., Kim, J.E., Maro, G.S., Xu, X.Z.S., Shen, K.",GRLD-1 regulates cell-wide abundance of glutamate receptor through post-transcriptional regulation,2010,Nature Neuroscience,1489,1496,4
"Awasaki, T., Lee, T.",Orphan nuclear receptors control neuronal remodeling during fly metamorphosis,2011,Nature Neuroscience,6,7,4
"De Biase, L.M., Bergles, D.E.","Same players, different game: AMPA receptor regulation in oligodendrocyte progenitors",2011,Nature Neuroscience,1358,1360,4
"Derkach, V.",Zooming in on AMPA receptor regulation by CaMKII,2011,Nature Neuroscience,674,675,4
"Lerma, J.",Net(o) excitement for kainate receptors,2011,Nature Neuroscience,808,810,4
"Pearson, J., Platt, M.L.",Dynamic decision making in the brain,2012,Nature Neuroscience,341,342,4
"Volynski, K.E., Rusakov, D.A., Kullmann, D.M.",Presynaptic fluctuations and release-independent depression,2006,Nature Neuroscience,1091,1093,5
"Rossi, D.J.",Astrocytes join the plasticity party,2012,Nature Neuroscience,649,651,5
"Weber, F., Machens, C.K., Borst, A.",Disentangling the functional consequences of the connectivity between optic-flow processing neurons,2012,Nature Neuroscience,441,448,5
