strain,id,sex,totalbody,femur,spine
129X1/SvJ,129X1_10,M,0.0549,0.0925,0.0695
129X1/SvJ,129X1_4,M,0.0554,0.0911,0.0634
129X1/SvJ,129X1_7,M,0.0540,0.0905,0.0688
129X1/SvJ,129X1_12,M,0.0555,0.0896,0.0721
129X1/SvJ,129X1_11,M,0.0510,0.0876,0.0758
129X1/SvJ,129X1_1,M,0.0579,0.0906,0.0665
129X1/SvJ,129X1_3,M,0.0572,0.0893,0.0646
129X1/SvJ,129X1_5,M,0.0553,0.0856,0.0654
129X1/SvJ,129X1_6,M,0.0526,0.0824,0.0651
129X1/SvJ,129X1_9,M,0.0538,0.0826,0.0666
129X1/SvJ,129X1_8,M,0.0537,0.0877,0.0712
129X1/SvJ,129X1_2,M,0.0531,0.0817,0.0644
A/J,AJ_12,M,0.0489,0.0740,0.0551
A/J,AJ_11,M,0.0444,0.0737,0.0536
A/J,AJ_4,M,0.0503,0.0689,0.0539
A/J,AJ_6,M,0.0470,0.0677,0.0562
A/J,AJ_9,M,0.0484,0.0680,0.0510
A/J,AJ_7,M,0.0427,0.0595,0.0492
A/J,AJ_10,M,0.0455,0.0717,0.0523
A/J,AJ_13,M,0.0443,0.0662,0.0560
A/J,AJ_5,M,0.0456,0.0630,0.0541
A/J,AJ_3,M,0.0414,0.0597,0.0462
A/J,AJ_1,M,0.0465,0.0626,0.0538
A/J,AJ_8,M,0.0449,0.0613,0.0499
A/J,AJ_2,M,0.0444,0.0597,0.0456
AKR/J,AKR_12,M,0.0586,NA,0.0679
AKR/J,AKR_2,M,0.0595,0.1095,0.0734
AKR/J,AKR_8,M,0.0597,0.0992,0.0720
AKR/J,AKR_11,M,0.0571,0.0905,0.0675
AKR/J,AKR_1,M,0.0579,0.0947,0.0753
AKR/J,AKR_3,M,0.0570,0.0916,0.0736
AKR/J,AKR_4,M,0.0622,0.0945,0.0696
AKR/J,AKR_10,M,0.0561,0.0834,0.0689
AKR/J,AKR_7,M,0.0569,0.0868,0.0745
AKR/J,AKR_9,M,0.0546,0.0777,0.0706
AKR/J,AKR_6,M,0.0612,0.0895,0.0671
AKR/J,AKR_5,M,0.0538,0.0813,0.0656
AXB-1/PgnJ,AXB1_6,M,0.0458,0.0741,0.0527
AXB-1/PgnJ,AXB1_5,M,0.0460,0.0731,0.0523
AXB-1/PgnJ,AXB1_2,M,0.0420,0.0724,0.0485
AXB-1/PgnJ,AXB1_7,M,0.0442,0.0658,0.0465
AXB-1/PgnJ,AXB1_4,M,0.0406,0.0665,0.0479
