month,day,is_retweet,favorite_count,text
12.0,25,FALSE,413246,"The best part of the holidays is the time we share with those we love. On behalf of Michelle, Malia, and Sasha, Mer… https://t.co/AOai9bJYlg"
12.0,20,FALSE,89941,A ban on drilling in Arctic waters helps protect the planet we share. Proud to take this step with @JustinTrudeau &amp;… https://t.co/cDbN6inXRy
12.0,16,FALSE,37939,"The Justice for All bill is a bipartisan step in making our criminal justice system fairer, smarter, and more effective. Proud to sign it."
12.0,16,FALSE,52751,"The suits said it all – colorful, fun, a little outlandish. That’s what sports should be. Thanks, Craig Sager.  We'll all miss you."
12.0,13,FALSE,52013,"In signing the Cures Act into law, we're one step closer to breakthroughs on the greatest health challenges of our… https://t.co/LhyahsK0sJ"
12.0,13,FALSE,49802,Great to see so many investors come together to work towards a clean energy future. It's a smart investment and it'… https://t.co/aqGx2t7QAZ
12.0,5,FALSE,49870,"Proud of our Champions of Change - folks who prove that, here in America, there's no more powerful role than that o… https://t.co/wbz1YSlUEx"
12.0,1,FALSE,108353,"Today, we honor those who are leading the fight against HIV/AIDS. Because of them, an AIDS-free generation is now w… https://t.co/yW9uyfbf1x"
11.0,24,FALSE,37444,"This Thanksgiving, we give thanks for our blessings, and work to fulfill the timeless responsibility we have as Americans to serve others."
11.0,24,FALSE,102979,The Old Soldiers Home in DC has cared for our nation's veterans for 165 years. I was honored to be a small part of… https://t.co/43ttiaLibI
11.0,20,FALSE,667317,"Happy birthday, Joe! The best @VP and friend I could have had alongside me these past eight years. https://t.co/kWH3L5uSFC"
11.0,20,FALSE,79314,One thing I've learned from my time abroad as President: Young people will shape our future long after their leader… https://t.co/bwEltHdPDs
11.0,11,FALSE,168556,"Today, we honor those who honored our country with its highest form of service. We owe our veterans our thanks, our respect and our freedom."
11.0,8,FALSE,155124,"Today, progress is on the ballot. Go vote - then make sure your friends, your family, and everyone you know votes too."
11.0,3,FALSE,28060,"It's pretty simple: Find a plan, get covered, earn some peace of mind. Start today: https://t.co/PJ7xIKP3Vo https://t.co/ZBQdNz8s80"
