month,day,is_retweet,favorite_count,text
12.0,31,TRUE,0,"RT @realDonaldTrump: Happy Birthday @DonaldJTrumpJr!
https://t.co/uRxyCD3hBz"
12.0,31,FALSE,55601,"Happy Birthday @DonaldJTrumpJr!
https://t.co/uRxyCD3hBz"
12.0,31,FALSE,350860,"Happy New Year to all, including to my many enemies and those who have fought me and lost so badly they just don't know what to do. Love!"
12.0,30,FALSE,84254,"Russians are playing @CNN and @NBCNews for such fools - funny to watch, they don't have a clue! @FoxNews totally gets it!"
12.0,30,FALSE,25336,"Join @AmerIcan32, founded by Hall of Fame legend @JimBrownNFL32 on 1/19/2017 in Washington, D.C.… https://t.co/9WJZ8iTCQV"
12.0,30,FALSE,97669,Great move on delay (by V. Putin) - I always knew he was very smart!
12.0,29,FALSE,45609,My Administration will follow two simple rules: https://t.co/ZWk0j4H8Qy
12.0,28,FALSE,51857,'Economists say Trump delivered hope' https://t.co/SjGBgglIuQ
12.0,28,FALSE,117710,"not anymore. The beginning of the end was the horrible Iran deal, and now this (U.N.)! Stay strong Israel, January 20th is fast approaching!"
12.0,28,FALSE,106626,"We cannot continue to let Israel be treated with such total disdain and disrespect. They used to have a great friend in the U.S., but......."
12.0,28,FALSE,117900,Doing my best to disregard the many inflammatory President O statements and roadblocks.Thought it was going to be a smooth transition - NOT!
12.0,28,FALSE,78521,"The U.S. Consumer Confidence Index for December surged nearly four points to 113.7, THE HIGHEST LEVEL IN MORE THAN 15 YEARS! Thanks Donald!"
12.0,27,FALSE,99838,"President Obama campaigned hard (and personally) in the very important swing states, and lost.The voters wanted to MAKE AMERICA GREAT AGAIN!"
12.0,27,FALSE,67470,"The DJT Foundation, unlike most foundations, never paid fees, rent, salaries or any expenses. 100% of money goes to wonderful charities!"
12.0,27,FALSE,71643,"I gave millions of dollars to DJT Foundation, raised or recieved millions more, ALL of which is given to charity, and media won't report!"
12.0,26,FALSE,128341,The world was gloomy before I won - there was no hope. Now the market is up nearly 10% and Christmas spending is over a trillion dollars!
12.0,26,FALSE,77746,"The United Nations has such great potential but right now it is just a club for people to get together, talk and have a good time. So sad!"
12.0,26,FALSE,91300,"President Obama said that he thinks he would have won against me. He should say that but I say NO WAY! - jobs leaving, ISIS, OCare, etc."
12.0,25,FALSE,212467,"Merry Christmas and a very, very, very , very Happy New Year to everyone!"
12.0,25,FALSE,151610,#MerryChristmas https://t.co/5GgDmJrGMS
12.0,25,FALSE,5871,".@FoxNews - ""Objectified"" tonight at 10:00 P.M. Enjoy!"
12.0,24,FALSE,84565,Happy #Hanukkah https://t.co/UvZwtykV1E
12.0,24,FALSE,83507,"The big loss yesterday for Israel in the United Nations will make it much harder to negotiate peace.Too bad, but we will get it done anyway!"
12.0,24,FALSE,62856,".@NBCNews purposely left out this part of my nuclear qoute: ""until such time as the world comes to its senses regarding nukes.""  Dishonest!"
12.0,24,FALSE,112957,"Vladimir Putin said today about Hillary and Dems: ""In my opinion, it is humiliating. One must be able to lose with dignity.""  So true!"
12.0,23,FALSE,65946,"slaughter you. This is a purely religious threat, which turned into reality. Such hatred! When will the U.S., and all countries, fight back?"
12.0,23,FALSE,51789,"The terrorist who killed so many people in Germany said just before crime, ""by God's will we will slaughter you pigs, I swear, we will......"
