sample	individual	environment	site
s_147406386_BM	s_147406386	ORAL_CAVITY	BM
s_147406386_HP	s_147406386	ORAL_CAVITY	HP
s_147406386_KG	s_147406386	ORAL_CAVITY	KG
s_147406386_PT	s_147406386	ORAL_CAVITY	PT
s_147406386_ST	s_147406386	GUT	ST
s_147406386_SUBP	s_147406386	ORAL_CAVITY	SUBP
s_147406386_SUPP	s_147406386	ORAL_CAVITY	SUPP
s_147406386_SV	s_147406386	ORAL_CAVITY	SV
s_147406386_TD	s_147406386	ORAL_CAVITY	TD
s_147406386_TH	s_147406386	ORAL_CAVITY	TH
s_158013734_BM	s_158013734	ORAL_CAVITY	BM
s_158013734_HP	s_158013734	ORAL_CAVITY	HP
s_158013734_KG	s_158013734	ORAL_CAVITY	KG
s_158013734_PT	s_158013734	ORAL_CAVITY	PT
s_158013734_ST	s_158013734	GUT	ST
s_158013734_SUBP	s_158013734	ORAL_CAVITY	SUBP
s_158013734_SUPP	s_158013734	ORAL_CAVITY	SUPP
s_158013734_SV	s_158013734	ORAL_CAVITY	SV
s_158013734_TD	s_158013734	ORAL_CAVITY	TD
s_158013734_TH	s_158013734	ORAL_CAVITY	TH
s_158114885_BM	s_158114885	ORAL_CAVITY	BM
s_158114885_HP	s_158114885	ORAL_CAVITY	HP
s_158114885_KG	s_158114885	ORAL_CAVITY	KG
s_158114885_PT	s_158114885	ORAL_CAVITY	PT
s_158114885_ST	s_158114885	GUT	ST
s_158114885_SUBP	s_158114885	ORAL_CAVITY	SUBP
s_158114885_SUPP	s_158114885	ORAL_CAVITY	SUPP
s_158114885_SV	s_158114885	ORAL_CAVITY	SV
s_158114885_TD	s_158114885	ORAL_CAVITY	TD
s_158114885_TH	s_158114885	ORAL_CAVITY	TH
s_158155345_BM	s_158155345	ORAL_CAVITY	BM
s_158155345_HP	s_158155345	ORAL_CAVITY	HP
s_158155345_KG	s_158155345	ORAL_CAVITY	KG
s_158155345_PT	s_158155345	ORAL_CAVITY	PT
s_158155345_ST	s_158155345	GUT	ST
s_158155345_SUBP	s_158155345	ORAL_CAVITY	SUBP
s_158155345_SUPP	s_158155345	ORAL_CAVITY	SUPP
s_158155345_SV	s_158155345	ORAL_CAVITY	SV
s_158155345_TD	s_158155345	ORAL_CAVITY	TD
s_158155345_TH	s_158155345	ORAL_CAVITY	TH
s_158216035_BM	s_158216035	ORAL_CAVITY	BM
s_158216035_HP	s_158216035	ORAL_CAVITY	HP
s_158216035_KG	s_158216035	ORAL_CAVITY	KG
s_158216035_PT	s_158216035	ORAL_CAVITY	PT
s_158216035_ST	s_158216035	GUT	ST
s_158216035_SUBP	s_158216035	ORAL_CAVITY	SUBP
s_158216035_SUPP	s_158216035	ORAL_CAVITY	SUPP
s_158216035_SV	s_158216035	ORAL_CAVITY	SV
s_158216035_TD	s_158216035	ORAL_CAVITY	TD
s_158216035_TH	s_158216035	ORAL_CAVITY	TH
s_158256496_BM	s_158256496	ORAL_CAVITY	BM
s_158256496_HP	s_158256496	ORAL_CAVITY	HP
s_158256496_KG	s_158256496	ORAL_CAVITY	KG
s_158256496_PT	s_158256496	ORAL_CAVITY	PT
s_158256496_ST	s_158256496	GUT	ST
s_158256496_SUBP	s_158256496	ORAL_CAVITY	SUBP
s_158256496_SUPP	s_158256496	ORAL_CAVITY	SUPP
s_158256496_SV	s_158256496	ORAL_CAVITY	SV
s_158256496_TD	s_158256496	ORAL_CAVITY	TD
s_158256496_TH	s_158256496	ORAL_CAVITY	TH
s_158276726_BM	s_158276726	ORAL_CAVITY	BM
s_158276726_HP	s_158276726	ORAL_CAVITY	HP
s_158276726_KG	s_158276726	ORAL_CAVITY	KG
s_158276726_PT	s_158276726	ORAL_CAVITY	PT
s_158276726_ST	s_158276726	GUT	ST
s_158276726_SUBP	s_158276726	ORAL_CAVITY	SUBP
s_158276726_SUPP	s_158276726	ORAL_CAVITY	SUPP
s_158276726_SV	s_158276726	ORAL_CAVITY	SV
s_158276726_TD	s_158276726	ORAL_CAVITY	TD
s_158276726_TH	s_158276726	ORAL_CAVITY	TH
s_158337416_BM	s_158337416	ORAL_CAVITY	BM
s_158337416_HP	s_158337416	ORAL_CAVITY	HP
s_158337416_KG	s_158337416	ORAL_CAVITY	KG
s_158337416_PT	s_158337416	ORAL_CAVITY	PT
s_158337416_ST	s_158337416	GUT	ST
s_158337416_SUBP	s_158337416	ORAL_CAVITY	SUBP
s_158337416_SUPP	s_158337416	ORAL_CAVITY	SUPP
s_158337416_SV	s_158337416	ORAL_CAVITY	SV
s_158337416_TD	s_158337416	ORAL_CAVITY	TD
s_158337416_TH	s_158337416	ORAL_CAVITY	TH
s_158357646_BM	s_158357646	ORAL_CAVITY	BM
s_158357646_HP	s_158357646	ORAL_CAVITY	HP
s_158357646_KG	s_158357646	ORAL_CAVITY	KG
s_158357646_PT	s_158357646	ORAL_CAVITY	PT
s_158357646_ST	s_158357646	GUT	ST
s_158357646_SUBP	s_158357646	ORAL_CAVITY	SUBP
s_158357646_SUPP	s_158357646	ORAL_CAVITY	SUPP
s_158357646_SV	s_158357646	ORAL_CAVITY	SV
s_158357646_TD	s_158357646	ORAL_CAVITY	TD
s_158357646_TH	s_158357646	ORAL_CAVITY	TH
s_158418336_BM	s_158418336	ORAL_CAVITY	BM
s_158418336_HP	s_158418336	ORAL_CAVITY	HP
s_158418336_KG	s_158418336	ORAL_CAVITY	KG
s_158418336_PT	s_158418336	ORAL_CAVITY	PT
s_158418336_ST	s_158418336	GUT	ST
s_158418336_SUBP	s_158418336	ORAL_CAVITY	SUBP
s_158418336_SUPP	s_158418336	ORAL_CAVITY	SUPP
s_158418336_SV	s_158418336	ORAL_CAVITY	SV
s_158418336_TD	s_158418336	ORAL_CAVITY	TD
s_158418336_TH	s_158418336	ORAL_CAVITY	TH
s_158438567_BM	s_158438567	ORAL_CAVITY	BM
s_158438567_HP	s_158438567	ORAL_CAVITY	HP
s_158438567_KG	s_158438567	ORAL_CAVITY	KG
s_158438567_PT	s_158438567	ORAL_CAVITY	PT
s_158438567_ST	s_158438567	GUT	ST
s_158438567_SUBP	s_158438567	ORAL_CAVITY	SUBP
s_158438567_SUPP	s_158438567	ORAL_CAVITY	SUPP
s_158438567_SV	s_158438567	ORAL_CAVITY	SV
s_158438567_TD	s_158438567	ORAL_CAVITY	TD
s_158438567_TH	s_158438567	ORAL_CAVITY	TH
s_158458797_BM	s_158458797	ORAL_CAVITY	BM
s_158458797_HP	s_158458797	ORAL_CAVITY	HP
s_158458797_KG	s_158458797	ORAL_CAVITY	KG
s_158458797_PT	s_158458797	ORAL_CAVITY	PT
s_158458797_ST	s_158458797	GUT	ST
s_158458797_SUBP	s_158458797	ORAL_CAVITY	SUBP
s_158458797_SUPP	s_158458797	ORAL_CAVITY	SUPP
s_158458797_SV	s_158458797	ORAL_CAVITY	SV
s_158458797_TD	s_158458797	ORAL_CAVITY	TD
s_158458797_TH	s_158458797	ORAL_CAVITY	TH
s_158479027_BM	s_158479027	ORAL_CAVITY	BM
s_158479027_HP	s_158479027	ORAL_CAVITY	HP
s_158479027_KG	s_158479027	ORAL_CAVITY	KG
s_158479027_PT	s_158479027	ORAL_CAVITY	PT
s_158479027_ST	s_158479027	GUT	ST
s_158479027_SUBP	s_158479027	ORAL_CAVITY	SUBP
s_158479027_SUPP	s_158479027	ORAL_CAVITY	SUPP
s_158479027_SV	s_158479027	ORAL_CAVITY	SV
s_158479027_TD	s_158479027	ORAL_CAVITY	TD
s_158479027_TH	s_158479027	ORAL_CAVITY	TH
s_158499257_BM	s_158499257	ORAL_CAVITY	BM
s_158499257_HP	s_158499257	ORAL_CAVITY	HP
s_158499257_KG	s_158499257	ORAL_CAVITY	KG
s_158499257_PT	s_158499257	ORAL_CAVITY	PT
s_158499257_ST	s_158499257	GUT	ST
s_158499257_SUBP	s_158499257	ORAL_CAVITY	SUBP
s_158499257_SUPP	s_158499257	ORAL_CAVITY	SUPP
s_158499257_SV	s_158499257	ORAL_CAVITY	SV
s_158499257_TD	s_158499257	ORAL_CAVITY	TD
s_158499257_TH	s_158499257	ORAL_CAVITY	TH
s_158721788_BM	s_158721788	ORAL_CAVITY	BM
s_158721788_HP	s_158721788	ORAL_CAVITY	HP
s_158721788_KG	s_158721788	ORAL_CAVITY	KG
s_158721788_PT	s_158721788	ORAL_CAVITY	PT
s_158721788_ST	s_158721788	GUT	ST
s_158721788_SUBP	s_158721788	ORAL_CAVITY	SUBP
